alias_1,alias_2,category,description,direction,type
티 맵,T map,앱,앱,B,partial
티 맵,t map,앱,앱,B,partial
바이탈리티,Vitality,서비스,서비스,B,partial
티빙,TVING,OTT,OTT,B,partial
티빙,tving,OTT,OTT,B,partial
에이닷,A.,앱,앱,U,partial
키즈폰,#,E,단말기,B,build
아이폰 AIR,아이폰 에어&&아이폰 AIR&&IPHONE AIR&&iPhone AIR,device,애플 스마트폰,B,exact
아이폰 AIR,iPhone AIR&&아이폰 AIR&&IPHONE AIR&&iPhone AIR,device,애플 스마트폰,B,exact
iPhone AIR,아이폰 에어&&아이폰 AIR&&IPHONE AIR,device,애플 스마트폰,B,exact
IPHONE AIR,아이폰 에어&&아이폰 AIR&&iPhone AIR,device,애플 스마트폰,B,exact
아이폰 Air,아이폰 에어&&아이폰 AIR&&IPHONE AIR&&iPhone AIR,device,애플 스마트폰,B,exact
아이폰 Air,iPhone AIR&&아이폰 AIR&&IPHONE AIR&&iPhone AIR,device,애플 스마트폰,B,exact
iPhone Air,아이폰 에어&&아이폰 AIR&&IPHONE AIR,device,애플 스마트폰,B,exact
IPHONE Air,아이폰 에어&&아이폰 AIR&&iPhone AIR,device,애플 스마트폰,B,exact
티머니,T money&&t money&&T-money&&t-money&&T 머니&&T-머니&&t 머니&&t-머니,service,T 머니 서비스,B,partial
퀀텀,갤럭시 퀀텀,device,삼성 스마트폰 시리즈,B,partial
갤럭시 Z 폴드&&갤럭시 Z 플립,갤럭시 폴더블,device,삼성 스마트폰 시리즈,U,partial
에이닷,A. (에이닷),앱,앱,U,partial
아이폰 17&&아이폰 17 PRO&&아이폰 17 PRO MAX&&아이폰 Air,아이폰 신제품&&아이폰 최신폰&&아이폰&&iPhone 신제품,device,애플 스마트폰,U,exact
아이폰 17&&아이폰 17 PRO&&아이폰 17 PRO MAX,아이폰 17&&아이폰 17 시리즈,device,애플 스마트폰,U,exact
아이폰 17&&아이폰 17 PRO,아이폰 17/17 Pro,device,애플 스마트폰,U,exact
갤럭시 Z 플립7&&갤럭시 Z 폴드7,갤럭시 Z 플립7/폴드7,device,삼성 스마트폰 시리즈,U,exact
갤럭시 폴더블&&갤럭시 퀀텀,갤럭시 폴더블/퀀텀,device,삼성 스마트폰 시리즈,U,exact
